Order_ID,Order_Date,Product,Category,Quantity,Sales,Profit,Region,Customer
ORD00001,2023-05-02,USB Hub,Accessories,3,12000.0,5032.44,East,CUST1023
ORD00002,2023-05-30,Lenovo Tab P11,Tablets,5,189000.0,33855.6,North,CUST1002
ORD00003,2023-01-22,Wireless Earbuds,Accessories,4,5200.0,1876.41,North,CUST1044
ORD00004,2023-07-07,iPhone 13,Phones,3,164400.0,15903.93,West,CUST1015
ORD00005,2023-11-03,OnePlus Pad,Tablets,4,150000.0,12975.46,East,CUST1021
ORD00006,2023-09-22,Samsung S22,Phones,4,304800.0,44986.83,South,CUST1002
ORD00007,2023-02-04,Screen Guard,Accessories,4,4000.0,1596.14,South,CUST1017
ORD00008,2023-04-16,Wireless Earbuds,Accessories,4,7600.0,3070.5,West,CUST1029
ORD00009,2023-09-27,MacBook Air,Laptops,4,573200.0,134257.26,East,CUST1048
ORD00010,2023-02-22,Charger 65W,Accessories,5,11000.0,3896.97,West,CUST1026
ORD00011,2023-01-15,Redmi Note 11,Phones,4,201200.0,19498.47,North,CUST1001
ORD00012,2023-05-19,iPhone 13,Phones,1,27900.0,2250.49,East,CUST1017
ORD00013,2023-02-10,Lenovo Tab P11,Tablets,1,38100.0,7988.89,West,CUST1007
ORD00014,2023-03-03,Redmi Note 11,Phones,2,42400.0,5278.72,West,CUST1037
ORD00015,2023-05-11,OnePlus Pad,Tablets,3,108300.0,14469.94,North,CUST1005
ORD00016,2023-06-28,HP Pavilion,Laptops,1,118200.0,13786.09,East,CUST1032
ORD00017,2023-08-19,Redmi Note 11,Phones,5,240500.0,45432.37,North,CUST1015
ORD00018,2023-08-31,Realme Pad,Tablets,4,210000.0,34406.64,South,CUST1028
ORD00019,2023-10-11,MacBook Air,Laptops,5,362500.0,41986.25,West,CUST1044
ORD00020,2023-08-19,Screen Guard,Accessories,3,6000.0,1946.51,South,CUST1033
ORD00021,2023-08-21,iPhone 13,Phones,3,128400.0,22875.97,East,CUST1039
ORD00022,2023-06-01,iPad Air,Tablets,5,209000.0,24603.0,East,CUST1032
ORD00023,2023-09-25,Redmi Note 11,Phones,1,19200.0,2121.02,South,CUST1039
ORD00024,2023-07-06,HP Pavilion,Laptops,1,56300.0,14055.92,North,CUST1002
ORD00025,2023-05-06,Lenovo IdeaPad,Laptops,5,390000.0,76109.55,South,CUST1044
ORD00026,2023-10-21,Lenovo IdeaPad,Laptops,3,242100.0,33004.04,West,CUST1005
ORD00027,2023-07-20,Wireless Earbuds,Accessories,3,12600.0,5791.83,West,CUST1006
ORD00028,2023-12-12,Samsung QLED,TVs,4,224000.0,19360.08,East,CUST1019
ORD00029,2023-12-04,Screen Guard,Accessories,1,3600.0,1358.45,West,CUST1001
ORD00030,2023-10-25,OnePlus Pad,Tablets,1,16900.0,3539.83,East,CUST1007
ORD00031,2023-10-31,Wireless Earbuds,Accessories,1,2800.0,986.06,South,CUST1012
ORD00032,2023-05-27,OnePlus TV,TVs,3,128700.0,12028.89,West,CUST1016
ORD00033,2023-04-14,OnePlus Pad,Tablets,1,39600.0,3634.47,West,CUST1035
ORD00034,2023-12-04,OnePlus 10,Phones,1,15300.0,1519.24,South,CUST1035
ORD00035,2023-10-04,Sony Bravia,TVs,4,370800.0,32804.64,West,CUST1020
ORD00036,2023-01-22,iPad Air,Tablets,1,35300.0,5338.56,South,CUST1030
ORD00037,2023-04-07,Samsung QLED,TVs,3,198900.0,20289.67,West,CUST1047
ORD00038,2023-02-04,Vivo V23,Phones,4,248000.0,28195.79,West,CUST1049
ORD00039,2023-01-06,Redmi Note 11,Phones,4,182000.0,20665.6,East,CUST1041
ORD00040,2023-07-07,OnePlus TV,TVs,1,77500.0,9972.32,North,CUST1021
ORD00041,2023-02-27,OnePlus 10,Phones,2,102400.0,19695.47,East,CUST1040
ORD00042,2023-04-14,MacBook Air,Laptops,3,217500.0,32273.22,North,CUST1009
ORD00043,2023-01-13,Realme Pad,Tablets,2,93600.0,18103.73,West,CUST1007
ORD00044,2023-05-22,Redmi Note 11,Phones,5,138000.0,12214.78,West,CUST1023
ORD00045,2023-02-20,Wireless Earbuds,Accessories,2,5000.0,2172.03,North,CUST1022
ORD00046,2023-02-23,MacBook Air,Laptops,1,44100.0,9851.5,East,CUST1037
ORD00047,2023-07-15,Vivo V23,Phones,4,116000.0,17950.64,South,CUST1045
ORD00048,2023-04-16,Phone Case,Accessories,4,4400.0,2173.19,South,CUST1019
ORD00049,2023-04-27,OnePlus 10,Phones,4,253600.0,27922.19,South,CUST1023
ORD00050,2023-08-27,Redmi Note 11,Phones,5,94000.0,17843.61,South,CUST1032
ORD00051,2023-07-11,Vivo V23,Phones,5,282500.0,40116.0,East,CUST1005
ORD00052,2023-03-27,Samsung QLED,TVs,4,315200.0,24912.64,North,CUST1029
ORD00053,2023-07-23,USB Hub,Accessories,1,1900.0,942.21,West,CUST1026
ORD00054,2023-01-23,Asus VivoBook,Laptops,4,236400.0,39024.38,South,CUST1010
ORD00055,2023-05-27,MI TV 4K,TVs,2,99600.0,6158.92,South,CUST1032
ORD00056,2023-09-04,Vivo V23,Phones,5,128000.0,11323.94,South,CUST1049
ORD00057,2023-02-02,Phone Case,Accessories,4,12400.0,4682.66,North,CUST1043
ORD00058,2023-02-12,MI TV 4K,TVs,3,308700.0,42655.6,West,CUST1029
ORD00059,2023-08-03,MI TV 4K,TVs,2,57400.0,7702.53,North,CUST1026
ORD00060,2023-04-15,LG OLED,TVs,2,54400.0,8580.85,East,CUST1004
ORD00061,2023-08-05,Asus VivoBook,Laptops,2,218400.0,50585.98,North,CUST1036
ORD00062,2023-04-09,Asus VivoBook,Laptops,1,102500.0,19104.84,West,CUST1036
ORD00063,2023-10-06,Dell XPS 13,Laptops,5,331000.0,66854.29,North,CUST1035
ORD00064,2023-12-08,iPhone 13,Phones,1,47800.0,8564.56,North,CUST1019
ORD00065,2023-09-22,Redmi Note 11,Phones,4,309200.0,56168.4,East,CUST1028
ORD00066,2023-04-09,Phone Case,Accessories,2,6600.0,2571.95,West,CUST1025
ORD00067,2023-02-26,Phone Case,Accessories,5,19500.0,8937.16,East,CUST1045
ORD00068,2023-05-13,LG OLED,TVs,2,61000.0,7682.55,East,CUST1023
ORD00069,2023-03-15,Samsung QLED,TVs,3,108300.0,8356.32,South,CUST1044
ORD00070,2023-10-10,Vivo V23,Phones,5,147500.0,18820.73,South,CUST1002
ORD00071,2023-12-31,OnePlus TV,TVs,5,236000.0,30622.57,North,CUST1022
ORD00072,2023-09-09,Charger 65W,Accessories,1,3200.0,1184.14,East,CUST1019
ORD00073,2023-05-06,MI TV 4K,TVs,3,145800.0,14526.1,East,CUST1045
ORD00074,2023-11-13,LG OLED,TVs,4,317200.0,47236.43,East,CUST1041
ORD00075,2023-11-08,OnePlus 10,Phones,5,152000.0,19460.07,North,CUST1038
ORD00076,2023-10-30,LG OLED,TVs,4,471600.0,59761.44,North,CUST1016
ORD00077,2023-01-20,Samsung QLED,TVs,4,128000.0,16187.2,North,CUST1018
ORD00078,2023-05-24,iPhone 13,Phones,1,55800.0,8376.57,East,CUST1011
ORD00079,2023-05-02,Wireless Earbuds,Accessories,4,4000.0,1468.53,West,CUST1036
ORD00080,2023-02-10,MacBook Air,Laptops,4,416800.0,46539.97,West,CUST1027
ORD00081,2023-08-28,iPhone 13,Phones,1,41700.0,6352.32,North,CUST1013
ORD00082,2023-01-10,Realme Pad,Tablets,2,59800.0,9649.49,West,CUST1030
ORD00083,2023-03-06,HP Pavilion,Laptops,5,290500.0,46970.44,South,CUST1032
ORD00084,2023-11-11,OnePlus 10,Phones,5,318500.0,40500.06,East,CUST1049
ORD00085,2023-11-07,Sony Bravia,TVs,2,57000.0,4335.55,South,CUST1028
ORD00086,2023-02-22,Vivo V23,Phones,5,399000.0,58514.07,North,CUST1010
ORD00087,2023-01-01,HP Pavilion,Laptops,1,66500.0,8695.33,East,CUST1045
ORD00088,2023-12-14,MI TV 4K,TVs,1,88800.0,11914.77,East,CUST1008
ORD00089,2023-11-02,MacBook Air,Laptops,2,184800.0,41525.62,West,CUST1001
ORD00090,2023-10-30,USB Hub,Accessories,3,6900.0,2254.94,East,CUST1015
ORD00091,2023-07-11,OnePlus TV,TVs,2,203000.0,34180.76,West,CUST1034
ORD00092,2023-11-04,MacBook Air,Laptops,2,166200.0,27526.25,North,CUST1038
ORD00093,2023-05-18,Redmi Note 11,Phones,2,142200.0,27578.62,West,CUST1017
ORD00094,2023-09-19,Dell XPS 13,Laptops,4,189200.0,20221.54,North,CUST1002
ORD00095,2023-09-06,Samsung QLED,TVs,3,143400.0,9909.46,East,CUST1016
ORD00096,2023-07-14,OnePlus Pad,Tablets,4,107600.0,22117.22,East,CUST1029
ORD00097,2023-04-02,Asus VivoBook,Laptops,2,129200.0,28846.3,South,CUST1022
ORD00098,2023-02-03,Sony Bravia,TVs,5,344000.0,29157.46,North,CUST1014
ORD00099,2023-05-01,Asus VivoBook,Laptops,3,132900.0,29226.25,South,CUST1047
ORD00100,2023-04-23,Realme Pad,Tablets,1,23900.0,4609.55,East,CUST1015
ORD00101,2023-11-08,Lenovo IdeaPad,Laptops,2,244400.0,25784.81,East,CUST1007
ORD00102,2023-08-15,Lenovo Tab P11,Tablets,4,66400.0,9471.15,East,CUST1015
ORD00103,2023-08-19,Vivo V23,Phones,4,65200.0,7735.95,South,CUST1026
ORD00104,2023-03-08,Charger 65W,Accessories,1,2000.0,789.59,North,CUST1045
ORD00105,2023-08-24,Lenovo IdeaPad,Laptops,2,202800.0,38122.41,East,CUST1042
ORD00106,2023-11-11,Vivo V23,Phones,4,228000.0,33856.49,North,CUST1006
ORD00107,2023-03-11,Sony Bravia,TVs,1,25700.0,2236.93,East,CUST1048
ORD00108,2023-02-09,Phone Case,Accessories,1,900.0,364.41,North,CUST1036
ORD00109,2023-04-28,Lenovo IdeaPad,Laptops,4,563600.0,56808.06,North,CUST1030
ORD00110,2023-06-22,iPad Air,Tablets,2,71800.0,11489.85,West,CUST1005
ORD00111,2023-05-20,Lenovo IdeaPad,Laptops,3,185700.0,39078.17,East,CUST1001
ORD00112,2023-09-16,Asus VivoBook,Laptops,3,427500.0,63311.18,North,CUST1006
ORD00113,2023-01-13,MacBook Air,Laptops,5,235000.0,58396.1,West,CUST1002
ORD00114,2023-02-07,Charger 65W,Accessories,5,2500.0,808.35,East,CUST1035
ORD00115,2023-05-17,Vivo V23,Phones,4,310800.0,29499.79,South,CUST1012
ORD00116,2023-11-16,Lenovo Tab P11,Tablets,1,43900.0,7042.71,North,CUST1008
ORD00117,2023-08-01,iPad Air,Tablets,5,103500.0,10651.37,North,CUST1005
ORD00118,2023-02-11,Lenovo Tab P11,Tablets,2,102000.0,12675.29,North,CUST1018
ORD00119,2023-06-02,Realme Pad,Tablets,1,44100.0,6631.8,North,CUST1033
ORD00120,2023-03-08,Asus VivoBook,Laptops,3,299100.0,49270.51,East,CUST1008
ORD00121,2023-06-06,Lenovo IdeaPad,Laptops,5,472500.0,99801.04,South,CUST1033
ORD00122,2023-03-27,OnePlus TV,TVs,3,287100.0,18381.26,South,CUST1010
ORD00123,2023-06-08,Samsung QLED,TVs,2,115000.0,18233.35,East,CUST1036
ORD00124,2023-11-20,MI TV 4K,TVs,5,381500.0,45155.45,West,CUST1045
ORD00125,2023-10-26,HP Pavilion,Laptops,3,348900.0,63293.48,East,CUST1005
ORD00126,2023-01-23,Phone Case,Accessories,2,4000.0,1381.88,East,CUST1026
ORD00127,2023-04-21,OnePlus Pad,Tablets,2,74400.0,11221.34,West,CUST1043
ORD00128,2023-10-20,Screen Guard,Accessories,4,18400.0,8427.51,West,CUST1042
ORD00129,2023-10-23,Redmi Note 11,Phones,2,39000.0,3481.86,North,CUST1022
ORD00130,2023-07-01,iPad Air,Tablets,5,271500.0,53606.52,East,CUST1001
ORD00131,2023-11-09,Realme Pad,Tablets,1,44000.0,4786.37,North,CUST1026
ORD00132,2023-07-29,OnePlus 10,Phones,4,199600.0,38000.38,East,CUST1034
ORD00133,2023-07-01,iPad Air,Tablets,3,40200.0,8352.95,West,CUST1025
ORD00134,2023-05-30,USB Hub,Accessories,1,2100.0,873.85,South,CUST1028
ORD00135,2023-06-26,Asus VivoBook,Laptops,1,59600.0,14551.97,West,CUST1022
ORD00136,2023-08-03,USB Hub,Accessories,1,1800.0,651.58,East,CUST1019
ORD00137,2023-01-19,Sony Bravia,TVs,5,304500.0,48838.08,South,CUST1001
ORD00138,2023-08-10,Samsung Tab S7,Tablets,2,70000.0,10314.66,South,CUST1004
ORD00139,2023-06-11,Vivo V23,Phones,3,117900.0,13262.5,West,CUST1033
ORD00140,2023-11-19,Wireless Earbuds,Accessories,5,11500.0,4718.96,West,CUST1023
ORD00141,2023-04-07,Realme Pad,Tablets,1,46400.0,4871.83,West,CUST1047
ORD00142,2023-07-01,HP Pavilion,Laptops,3,437700.0,105775.22,North,CUST1014
ORD00143,2023-02-05,MacBook Air,Laptops,1,62900.0,6540.33,North,CUST1018
ORD00144,2023-07-14,Dell XPS 13,Laptops,5,388000.0,53898.44,East,CUST1012
ORD00145,2023-08-14,USB Hub,Accessories,5,11500.0,4719.71,North,CUST1044
ORD00146,2023-07-21,OnePlus Pad,Tablets,2,89600.0,8925.58,South,CUST1046
ORD00147,2023-08-25,Samsung S22,Phones,3,144900.0,24488.45,North,CUST1039
ORD00148,2023-04-08,OnePlus 10,Phones,4,94400.0,17753.68,East,CUST1037
ORD00149,2023-02-03,Samsung Tab S7,Tablets,5,235000.0,35187.19,North,CUST1037
ORD00150,2023-01-27,Samsung S22,Phones,4,113600.0,9237.9,North,CUST1031
ORD00151,2023-06-22,Samsung Tab S7,Tablets,4,156800.0,23394.3,North,CUST1026
ORD00152,2023-11-06,MI TV 4K,TVs,2,130200.0,13340.89,East,CUST1001
ORD00153,2023-09-24,Realme Pad,Tablets,4,180800.0,16191.54,West,CUST1011
ORD00154,2023-04-08,Charger 65W,Accessories,3,5400.0,2231.72,East,CUST1047
ORD00155,2023-08-15,Sony Bravia,TVs,2,56000.0,5122.41,West,CUST1043
ORD00156,2023-03-14,OnePlus 10,Phones,5,125500.0,19427.39,North,CUST1040
ORD00157,2023-01-25,iPhone 13,Phones,1,60800.0,9229.1,East,CUST1035
ORD00158,2023-04-12,Samsung Tab S7,Tablets,5,60500.0,13036.41,South,CUST1012
ORD00159,2023-01-17,Realme Pad,Tablets,4,186800.0,40104.81,South,CUST1049
ORD00160,2023-07-17,Phone Case,Accessories,5,19500.0,8674.0,West,CUST1025
ORD00161,2023-12-31,Dell XPS 13,Laptops,4,257200.0,63824.23,South,CUST1047
ORD00162,2023-09-27,Dell XPS 13,Laptops,2,205000.0,48651.27,East,CUST1007
ORD00163,2023-08-11,OnePlus 10,Phones,2,84800.0,14877.4,South,CUST1039
ORD00164,2023-06-08,Samsung Tab S7,Tablets,3,142800.0,12163.86,West,CUST1035
ORD00165,2023-07-02,Screen Guard,Accessories,5,4000.0,1757.03,East,CUST1044
ORD00166,2023-06-10,Redmi Note 11,Phones,5,290000.0,48877.38,West,CUST1045
ORD00167,2023-09-08,Lenovo IdeaPad,Laptops,2,85400.0,19685.97,East,CUST1013
ORD00168,2023-01-29,LG OLED,TVs,3,95100.0,5814.25,South,CUST1049
ORD00169,2023-08-27,OnePlus TV,TVs,4,338400.0,55782.28,North,CUST1010
ORD00170,2023-05-22,Redmi Note 11,Phones,5,313000.0,25165.69,West,CUST1030
ORD00171,2023-07-12,Lenovo IdeaPad,Laptops,2,131400.0,13969.66,North,CUST1046
ORD00172,2023-10-20,iPhone 13,Phones,1,59200.0,6286.48,North,CUST1037
ORD00173,2023-07-18,OnePlus Pad,Tablets,3,152700.0,33362.8,West,CUST1004
ORD00174,2023-11-26,OnePlus Pad,Tablets,5,199500.0,32934.09,East,CUST1034
ORD00175,2023-09-19,Samsung S22,Phones,1,27100.0,4703.21,North,CUST1005
ORD00176,2023-06-27,iPhone 13,Phones,3,161400.0,23080.81,South,CUST1017
ORD00177,2023-11-25,Lenovo Tab P11,Tablets,5,108000.0,16759.05,West,CUST1014
ORD00178,2023-01-29,LG OLED,TVs,3,325200.0,29876.78,North,CUST1003
ORD00179,2023-01-25,Samsung S22,Phones,4,69200.0,8268.44,North,CUST1011
ORD00180,2023-06-25,Samsung Tab S7,Tablets,4,112000.0,13032.94,South,CUST1018
ORD00181,2023-04-24,MI TV 4K,TVs,5,550000.0,98437.37,West,CUST1045
ORD00182,2023-02-09,Samsung QLED,TVs,2,158600.0,22117.32,East,CUST1013
ORD00183,2023-02-28,Sony Bravia,TVs,3,322500.0,28842.55,East,CUST1048
ORD00184,2023-12-22,Vivo V23,Phones,3,91500.0,17532.39,East,CUST1027
ORD00185,2023-01-31,USB Hub,Accessories,3,14400.0,5660.55,East,CUST1042
ORD00186,2023-12-22,HP Pavilion,Laptops,5,609000.0,75585.42,South,CUST1014
ORD00187,2023-02-15,OnePlus TV,TVs,4,102400.0,9671.12,East,CUST1049
ORD00188,2023-06-12,iPhone 13,Phones,2,112400.0,16275.32,West,CUST1006
ORD00189,2023-03-01,Samsung Tab S7,Tablets,1,53400.0,6827.84,East,CUST1030
ORD00190,2023-11-20,OnePlus TV,TVs,4,166000.0,25315.41,East,CUST1017
ORD00191,2023-04-30,Charger 65W,Accessories,2,5200.0,1620.24,East,CUST1018
ORD00192,2023-01-07,Asus VivoBook,Laptops,4,490000.0,58561.34,North,CUST1011
ORD00193,2023-08-14,OnePlus 10,Phones,3,178200.0,23791.18,North,CUST1004
ORD00194,2023-10-12,OnePlus 10,Phones,5,352500.0,50493.12,North,CUST1011
ORD00195,2023-12-03,Wireless Earbuds,Accessories,4,13600.0,4823.27,South,CUST1044
ORD00196,2023-03-25,USB Hub,Accessories,5,23000.0,10843.86,South,CUST1019
ORD00197,2023-01-15,Vivo V23,Phones,3,105900.0,12548.0,South,CUST1035
ORD00198,2023-01-27,iPhone 13,Phones,4,206400.0,28190.92,West,CUST1046
ORD00199,2023-06-23,iPhone 13,Phones,5,327500.0,56497.23,South,CUST1007
ORD00200,2023-02-15,Realme Pad,Tablets,4,53600.0,11198.04,East,CUST1025
ORD00201,2023-11-15,Redmi Note 11,Phones,4,172000.0,17898.83,South,CUST1002
ORD00202,2023-11-16,Realme Pad,Tablets,1,12500.0,1126.78,South,CUST1046
ORD00203,2023-09-24,Realme Pad,Tablets,1,49000.0,9269.78,South,CUST1024
ORD00204,2023-03-21,iPhone 13,Phones,4,316400.0,30722.27,South,CUST1022
ORD00205,2023-12-19,Screen Guard,Accessories,1,3000.0,905.86,South,CUST1033
ORD00206,2023-06-03,iPhone 13,Phones,5,102000.0,18252.05,South,CUST1039
ORD00207,2023-11-01,MacBook Air,Laptops,2,256200.0,33311.77,West,CUST1011
ORD00208,2023-12-25,Samsung QLED,TVs,3,84000.0,14477.02,East,CUST1032
ORD00209,2023-11-14,Samsung S22,Phones,4,286400.0,47453.74,West,CUST1047
ORD00210,2023-01-22,Lenovo Tab P11,Tablets,4,143200.0,23434.2,South,CUST1003
ORD00211,2023-01-12,Redmi Note 11,Phones,2,87000.0,14527.19,East,CUST1012
ORD00212,2023-08-26,Sony Bravia,TVs,5,417500.0,41533.77,West,CUST1045
ORD00213,2023-07-30,OnePlus TV,TVs,3,121200.0,7575.4,South,CUST1037
ORD00214,2023-04-03,OnePlus 10,Phones,3,60900.0,7819.03,South,CUST1015
ORD00215,2023-01-24,Redmi Note 11,Phones,1,71400.0,11942.38,West,CUST1037
ORD00216,2023-02-19,Screen Guard,Accessories,4,16000.0,6415.5,North,CUST1032
ORD00217,2023-03-07,Redmi Note 11,Phones,2,124200.0,17189.31,East,CUST1034
ORD00218,2023-09-25,Wireless Earbuds,Accessories,3,9600.0,4631.74,East,CUST1045
ORD00219,2023-08-28,Asus VivoBook,Laptops,1,54500.0,11301.87,South,CUST1023
ORD00220,2023-02-10,Lenovo IdeaPad,Laptops,2,119800.0,27333.3,South,CUST1047
ORD00221,2023-12-11,Redmi Note 11,Phones,2,42400.0,6710.0,North,CUST1028
ORD00222,2023-06-13,HP Pavilion,Laptops,5,205000.0,38593.69,North,CUST1023
ORD00223,2023-04-03,Samsung Tab S7,Tablets,3,93000.0,11748.18,South,CUST1012
ORD00224,2023-01-01,iPhone 13,Phones,5,156000.0,24032.95,North,CUST1020
ORD00225,2023-06-14,Charger 65W,Accessories,3,11400.0,4933.47,North,CUST1049
ORD00226,2023-11-30,Screen Guard,Accessories,4,11600.0,3559.32,South,CUST1009
ORD00227,2023-07-17,MI TV 4K,TVs,2,57400.0,4285.09,North,CUST1005
ORD00228,2023-06-30,iPhone 13,Phones,3,53100.0,5193.24,South,CUST1024
ORD00229,2023-02-08,Lenovo Tab P11,Tablets,2,51800.0,11200.9,East,CUST1047
ORD00230,2023-05-06,Samsung Tab S7,Tablets,4,139600.0,13625.49,North,CUST1016
ORD00231,2023-05-09,MacBook Air,Laptops,4,456400.0,112040.18,East,CUST1008
ORD00232,2023-04-24,OnePlus TV,TVs,2,175800.0,31193.21,South,CUST1017
ORD00233,2023-10-16,Dell XPS 13,Laptops,4,209600.0,45970.85,North,CUST1019
ORD00234,2023-07-11,OnePlus TV,TVs,1,35100.0,4876.84,South,CUST1009
ORD00235,2023-03-18,iPhone 13,Phones,1,71600.0,12450.26,East,CUST1041
ORD00236,2023-04-12,OnePlus Pad,Tablets,2,58800.0,7396.14,East,CUST1006
ORD00237,2023-11-27,MacBook Air,Laptops,5,639000.0,105650.66,North,CUST1024
ORD00238,2023-11-12,Vivo V23,Phones,1,38800.0,4948.58,North,CUST1025
ORD00239,2023-09-24,iPhone 13,Phones,1,43900.0,3589.27,East,CUST1008
ORD00240,2023-10-31,MacBook Air,Laptops,1,81800.0,18773.1,South,CUST1006
ORD00241,2023-10-31,USB Hub,Accessories,5,10000.0,3760.39,North,CUST1015
ORD00242,2023-12-30,Screen Guard,Accessories,3,11700.0,5412.39,East,CUST1043
ORD00243,2023-05-04,OnePlus TV,TVs,3,77100.0,10616.44,East,CUST1025
ORD00244,2023-10-02,Phone Case,Accessories,3,2400.0,1168.53,South,CUST1014
ORD00245,2023-08-27,MI TV 4K,TVs,5,260500.0,25235.88,West,CUST1035
ORD00246,2023-03-31,Lenovo IdeaPad,Laptops,2,168000.0,41413.48,North,CUST1030
ORD00247,2023-11-08,OnePlus Pad,Tablets,2,92800.0,9822.13,North,CUST1042
ORD00248,2023-11-06,LG OLED,TVs,4,261200.0,18400.15,North,CUST1044
ORD00249,2023-10-04,LG OLED,TVs,3,75600.0,10323.8,South,CUST1028
